Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),% SV toàn trường nhận hỗ trợ tài chính,Mức hỗ trợ trung bình toàn trường,,,
Tsinghua University Scholarships,Tsinghua University,Trường/Chính phủ,**Beijing Government Scholarship (UG)**: miễn/giảm học phí (toàn/phần),Ngoài ra có học bổng trường/CGS (chủ yếu PG); UG quốc tế thường xét BGS,Tự động/đơn (tuỳ loại),3–6,Theo call,Theo call,Chưa công bố,Có,SV quốc tế nộp vào Tsinghua,—,Không,Mọi ngành UG đủ điều kiện,THPT (quốc tế) + đỗ Tsinghua,Không nêu,Thành tích học thuật cao,—,Học thuật,Theo thư mời,Offer + (nếu cần) form học bổng,Xét & công bố,https://www.tsinghua.edu.cn/en/Admissions/International_Students1/Financial_Aid.htm,Trang nêu **Beijing Government Scholarship (UG)**,Có,Chưa công bố,Chưa công bố,,,
Peking University Scholarships,Peking University,Trường/Chính phủ,"Học bổng tân SV quốc tế (Freshmen), CGS/BJ Govt (mức khác nhau)","Nhiều loại (PKU Freshmen, CGS, Beijing Govt.); số suất thay đổi theo năm",Tự động/đơn (tuỳ loại),5–7,Theo call,Theo call,Chưa công bố,Có,SV quốc tế trúng tuyển PKU,—,Không,Mọi ngành UG đủ điều kiện,THPT (quốc tế) + đỗ Peking University,Không nêu,Học thuật xuất sắc,—,Học thuật & hoạt động,Theo thư mời,Offer + (nếu có) hồ sơ học bổng,Xét & công bố,https://english.pku.edu.cn/,Trang tiếng Anh có mục “scholarships”; có **Freshmen Scholarship**,Có,Chưa công bố,Chưa công bố,,,
Singapore Management University Scholarships,Singapore Management University (SMU),Trường,Nhiều mức: SMU International Scholarship (~S$10.000–S$20.000/1 kỳ trao đổi) & các học bổng toàn khoá do SMU/nhà tài trợ,"Nhiều đầu mục (SMU International, Diana Koh, Dato’ Kho…); một số dành riêng SV ASEAN/nữ/nhu cầu tài chính",Tự động/đơn (tuỳ học bổng),9–5,Theo mốc SMU,Theo mốc SMU,Nhiều suất,Có,SV quốc tế/ASEAN; một số học bổng theo tiêu chí riêng,ASEAN/nữ/thu nhập… (tuỳ học bổng),Có,Tất cả ngành tại SMU,THPT (quốc tế) + đỗ SMU,Không nêu,Học thuật cao; có thể yêu cầu thu nhập hộ gia đình,—,"Học thuật, lãnh đạo, hoạt động",Theo điều kiện từng học bổng,Hồ sơ nhập học + (nếu cần) form học bổng,Xét tự động/đơn riêng,https://admissions.smu.edu.sg/scholarships/prospective-students/international-students,Xem thêm Diana Koh/SMU International Exchange Scholarship,Có,Chưa công bố,Chưa công bố,,,
Entrance Scholarships – McGill University,McGill University,Trường,"**C$3.000 (one-year)**; **C$12.000–48.000 (Major Entrance, tối đa 4 năm)**",Major cần đơn; One-year tự động,Đơn/tự động,10–1,Theo mốc McGill,Theo mốc McGill,Nhiều suất,Có,SV năm nhất full-time,—,Không,Mọi ngành UG đủ điều kiện,THPT (quốc tế) + đỗ McGill,Không nêu,Học thuật rất cao; lãnh đạo (với Major),—,Học thuật & lãnh đạo,Major gia hạn đến 4 năm,Đơn Major qua Portal; One-year tự động,Theo lịch,https://www.mcgill.ca/studentaid/scholarships-aid/future-undergrads/entrance-scholarships,Tóm tắt lại để bạn tổng hợp chung,Có,Chưa công bố,Chưa công bố,,,
ACI Foundation Scholarship,ACI Foundation (American Concrete Institute),Quỹ / Tổ chức,Trợ cấp 1 năm (chi trả 2 đợt); mức thay đổi theo năm,Dành cho SV theo đuổi ngành bê tông/xây dựng/vật liệu; có cả suất **Undergraduate** và **Fellowship**,Đơn trực tuyến trên cổng ACI,7–10,Theo thông báo,Around 1–11 (theo cycle ACI),Nhiều suất,Có,SV full-time liên quan đến bê tông tại các ĐH được công nhận,—,Có,Concrete/Materials/Construction/Structural…,THPT (hoặc tương đương) + ngành xây dựng/kỹ thuật (tùy chương trình ACI),Không nêu,"Hồ sơ học thuật tốt, định hướng ngành bê tông",—,"Học thuật, định hướng nghề nghiệp, tham gia ACI",Theo thư mời,Đơn online + bảng điểm + thư giới thiệu,Nộp cổng ACI → phỏng vấn/đánh giá → trao,https://www.acifoundation.org/scholarships.aspx,Trang ACI xác nhận có **Undergraduate scholarship**,Có,,,,,
AAUW International Fellowship Program,AAUW,Quỹ / Tổ chức,US$20.000–50.000 tùy bậc,**Chỉ dành cho Thạc sĩ/ Tiến sĩ**; **không áp dụng Cử nhân**,Đơn trực tuyến,8–11,Theo thông báo,Theo thông báo,~3.000 (toàn hệ quỹ,hằng năm),Có,"Ứng viên **nữ**, không phải công dân/PR Hoa Kỳ; dành cho **Master/Doctorate**",—,Không,Không phải bậc Cử nhân (AAUW sau ĐH),—,Không nêu,Đã/đang trúng tuyển bậc sau ĐH,—,"Lãnh đạo, tác động xã hội",Theo thư mời,Đơn + thư nhập học + tài liệu tài chính,Nộp cổng AAUW → xét chọn,https://www.aauw.org/resources/programs/international-fellowships/,Không áp dụng cho Cử nhân,Có,,,,
GREAT Scholarships,British Council (Study UK) + các ĐH Vương quốc Anh,Quỹ / Tổ chức,£10.000 học phí (thường 1 năm),Chỉ cho **taught Master’s** tại ĐH UK; có danh sách quốc gia (có Việt Nam) & trường tham gia,Đơn qua từng trường đối tác,10–5,Theo từng trường,Theo từng trường,~200+ suất/năm,Có,Công dân các nước đủ điều kiện (có Việt Nam),Danh sách 18 quốc gia theo năm,Có,Theo danh mục ngành của từng trường,Không phải bậc Cử nhân (GREAT: Master ở UK),Không nêu,Phù hợp tiêu chí trường đối tác,—,Học thuật/động lực,Theo trường đối tác,Hồ sơ trường + form học bổng,Apply vào trường → nộp GREAT tại trường,https://study-uk.britishcouncil.org/scholarships-funding/great-scholarships,**Không phải bậc Cử nhân**,Có,,,,,
Swedish Institute Scholarships for Global Professionals (SISGP),,Chính phủ,Toàn phần (học phí + trợ cấp sinh hoạt + bảo hiểm + vé khứ hồi),**Dành cho Master’s**; yêu cầu công dân các nước đủ điều kiện; có danh sách ngành,Đơn trực tuyến SI + UniversityAdmissions.se,1–2,Theo SI,Theo SI,~350–400 (tuỳ năm),Có,Công dân trong danh sách đủ điều kiện (có thể có VN tùy năm),—,Có,Chỉ **Master’s** eligible list,Không phải bậc Cử nhân (SISGP: Master ở SE),Không nêu,Kinh nghiệm làm việc & lãnh đạo,Kinh nghiệm làm việc,"Lãnh đạo, bền vững, tác động XH",Theo thư mời,Đơn SI + hồ sơ nhập học Thụy Điển,Nộp UCAS Thụy Điển → nộp SI,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/,Không áp dụng bậc Cử nhân,Có,,,,,
University of New South Wales International Scholarships,Swedish Institute (SI),Trường,"Nhiều mức: từ **A$5.000–A$20.000/năm**, tới **miễn toàn bộ học phí** (một số chương trình flagship)","Áp dụng SV quốc tế; xét theo thành tích, lãnh đạo, ngoại khoá",Đơn trực tuyến hoặc tự động (tùy loại),3–10,Theo từng đợt,Theo từng đợt,Nhiều suất,Có,SV quốc tế nhập học UNSW,—,Không,Mọi ngành Cử nhân coursework,THPT (quốc tế) + đỗ UNSW,Không nêu,Hồ sơ học thuật mạnh; có thể phỏng vấn,—,Học thuật & lãnh đạo,Theo điều kiện UNSW,Đơn + bảng điểm + bài luận (nếu yêu cầu),Nộp trên portal → xét,https://www.unsw.edu.au/study/your-future/international-scholarships,Trang tổng học bổng quốc tế UNSW,Có,,,,,
Vanier Canada Graduate Scholarships,UNSW Sydney,Chính phủ,C$50.000/năm × 3 năm,**Chỉ dành cho bậc Tiến sĩ/MD-PhD**; không áp dụng UG,Đề cử bởi trường Canada,6–10,Theo cơ sở đề cử,Theo Vanier,~166/năm,Không,Yêu cầu đang/chuẩn bị học **PhD**; thời gian học PhD ≤ 20 tháng…,—,Không,—,Không phải bậc Cử nhân (PhD),Không nêu,Theo quy định Vanier (PhD),Kinh nghiệm nghiên cứu,"Lãnh đạo, nghiên cứu, học thuật",Theo quy định,Trường đề cử trên ResearchNet,Theo lịch Vanier,https://vanier.gc.ca/en/eligibility-admissibilite.html,Không dành cho Cử nhân,Có,,,,,
Zawadi Africa Education Fund,Zawadi Africa,Quỹ / Tổ chức,Hỗ trợ học phí/sinh hoạt (tuỳ đối tác),"Dành cho **nữ** học sinh xuất sắc, có khó khăn tài chính tại **châu Phi**; mốc nộp **Feb–Apr** thường niên",Đơn trực tuyến Zawadi + đối tác,2–4,01/02,30/04,Nhiều suất,Không,Chỉ công dân các nước châu Phi,—,Không,Theo chương trình/đối tác,"THPT (nữ, công dân châu Phi theo danh sách) + đỗ ĐH đối tác",Không nêu,Điểm KCSE A/A- (điển hình); lãnh đạo,—,"Học thuật cao, lãnh đạo, vượt khó",Theo quy định đối tác,Đơn online + bảng điểm + bài luận,Nộp Zawadi → xét/giới thiệu trường,https://www.zawadiafrica.org/apply-now/,Không mở cho VN,Có,,,,,
Stipendium Hungaricum,Hungary – Tempus Public Foundation,Chính phủ,"Toàn phần/bán phần: học phí, trợ cấp sinh hoạt, KTX, bảo hiểm",Mở cho **Bachelor/Master/PhD/Non-degree**; có suất **UG**; có 1 năm dự bị tiếng Hung,Đơn trực tuyến hệ thống TPF + qua đối tác cử gửi,10–1,Theo call,Tùy nước (VN theo thông báo đối tác),~5.000+ (toàn chương trình),Có,Công dân các nước đối tác (có Việt Nam),Danh sách đối tác cử gửi,Không,Mọi ngành theo *Study Finder*,THPT (hoặc tương đương) + đề cử + đỗ ĐH ở Hungary (track UG có),Không nêu,Theo tiêu chí nước cử gửi & trường tiếp nhận,—,"Học thuật, động lực",Gia hạn theo quy định,Tài khoản portal + hồ sơ đầy đủ,Nộp portal + qua cơ quan cử gửi,https://stipendiumhungaricum.hu/apply/,Call 2026/27 đã đăng tải,Có,,,,,
Government of Brunei Darussalam Scholarship,Brunei MFA,Chính phủ,"Toàn phần: học phí, vé máy bay, trợ cấp BND$650/tháng + KTX",Áp dụng cho **Undergraduate** & Master tại các trường Brunei,Đơn trực tuyến (BDGS),1–2,Theo thông báo,Theo thông báo,Số lượng giới hạn/Có quota,Có,Công dân các nước đủ điều kiện (có VN),—,Không,Mọi ngành theo chỉ tiêu trường,THPT (hoặc tương đương) + đỗ ĐH tại Brunei (track UG có),Không nêu,Điều kiện học thuật & tiếng theo trường,—,Học thuật & động lực,Theo thư mời,Đơn BDGS + hồ sơ,Portal MFA Brunei → xét,https://www.mfa.gov.bn/Pages/scholarship.aspx,Mục 2025/26 – BDGS,Có,,,,,
ICCR Scholarships,Indian Council for Cultural Relations (ICCR),Chính phủ,Miễn học phí + trợ cấp sinh hoạt + KTX (tuỳ trường),Có **Undergraduate**; nộp qua cổng **A2A**; nhiều scheme (A1201…),Cổng **A2A** ICCR,2–4,Khoảng 20/02,Theo call,640 slot (A1201) 2025-26 (tham chiếu),Có,Công dân các nước đối tác (có VN),Danh sách theo ĐSQ/TEO,Không,Mọi ngành theo danh mục trường,THPT (hoặc tương đương) + đỗ ĐH Ấn Độ (track UG có),Không nêu,Theo điều kiện trường tiếp nhận,—,Học thuật/động lực,Theo quy định,Đăng ký A2A + hồ sơ,ĐSQ xác nhận → ICCR xét,https://a2ascholarships.iccr.gov.in/,Trang A2A chính thức,Có,,,,,
Kemitraan Negara Berkembang (KNB),Indonesia – Kemdikbudristek,Chính phủ,"Toàn phần: học phí, monthly allowance, vé máy bay, bảo hiểm",Truyền thống chủ yếu **Master/PhD**; một số đợt/đơn vị có UG hạn chế,Đơn trực tuyến + thư giới thiệu ĐSQ,2–5,Theo call,Theo call,Chưa công bố,Có,Công dân các nước đang phát triển (có VN),—,Có giới hạn,Theo danh mục trường/ ngành KNB,Không rõ/không ưu tiên UG (KNB thường Master/PhD),Không nêu,Theo call từng năm,—,Học thuật & động lực,Theo quy định,Đơn + thư giới thiệu + hồ sơ,Theo call,https://knb.kemdiktisaintek.go.id/,Xem Guide mỗi năm,Có,,,,,
Kazakhstan Government Scholarship (Bolashak/State grants),Kazakhstan – International Programs Center/ENIC,Chính phủ,Học phí + trợ cấp (tuỳ chương trình),Chủ yếu **cho công dân Kazakhstan**; suất cho SV quốc tế thay đổi theo năm,Đơn trực tuyến,6–8,Theo call,Theo call,Chưa công bố,Chưa rõ,Ưu tiên công dân Kazakhstan; cơ hội cho quốc tế **không ổn định**,—,Không,Theo chương trình,Không phải bậc Cử nhân (Bolashak chủ yếu sau ĐH),Không nêu,Theo quy định nước sở tại,—,Học thuật,Theo quy định,Đơn online,Theo call,https://enic-kazakhstan.edu.kz/en/post/94,Thông tin chính thức cho đợt trước; hiện trạng thay đổi,Chưa rõ,,,,,
Russian Government Scholarship (Open Doors / Quota),Russia – Rossotrudnichestvo + Global Universities,Chính phủ,Miễn học phí + suất ở KTX + trợ cấp cơ bản (tuỳ trường),Đường **Quota** qua Rossotrudnichestvo; **Open Doors** chủ yếu PG; UG có qua quota quốc gia,Đơn online (quota) / Open Doors,10–2,Theo quốc gia/đại diện,Theo đại diện,~15.000 suất/năm (quota),Có,Công dân quốc tế (có VN),Theo chỉ tiêu nước,Không,Theo danh mục các trường Nga,Không phải bậc Cử nhân (Open Doors: Master/PhD),Không nêu,Theo quy định đại diện & trường,—,Học thuật,Theo quy định,Đơn qua đại diện Rossotrudnichestvo/portal,Theo call,https://od.globaluni.ru/,"UG qua **quota**, Open Doors chủ yếu PG",Có,,,,,
GOI-IES (Government of Ireland – International Education Scholarships),Ireland – HEA,Chính phủ,€10.000 + **miễn toàn bộ học phí** (1 năm),**Dành cho Master/PhD**; không áp dụng bậc Cử nhân,Đơn trực tuyến,1–3,Theo call,Theo call,60/năm,Không,Yêu cầu ngoài EU/EEA,—,Không,—,Không phải bậc Cử nhân (GOI-IES chủ yếu Master),Không nêu,Theo chuẩn tuyển sinh Master/PhD,—,Học thuật & động lực,Theo thư mời,Apply qua HEA + offer trường,Theo call,https://hea.ie/policy/internationalisation/goi-ies/,Không áp dụng Cử nhân,Có,,,,,
Qatar Scholarships (multi-partner),Qatar Scholarships (EAA/đối tác & các ĐH tại Qatar),Chính phủ/Quỹ,Miễn học phí + trợ cấp (tuỳ ĐH/ chương trình),Có **Undergraduate** tại một số trường (ví dụ Lusail University) theo danh mục,Đơn qua chương trình/ĐH đối tác,3–6,Theo đợt,Theo đợt,Chưa công bố,Có,Công dân các nước đang phát triển (có VN),Theo từng chương trình,Có,Theo danh mục ngành từng trường,THPT (hoặc tương đương) + theo đối tác chương trình (điều kiện thay đổi),Không nêu,Theo tiêu chí từng ĐH,—,Học thuật & động lực,Theo từng chương trình,Hồ sơ ĐH + form học bổng,Theo danh mục,https://www.qatarscholarships.qa/,Trang Programs liệt kê bậc UG,Có,,,,,
HKSAR Belt and Road Scholarship (HKSAR GSF – Outstanding Performance),HKSAR Education Bureau,Chính phủ,**HK$80.000/năm** cho SV non-local (hệ **Outstanding Performance**),Do **HKSAR Government Scholarship Fund** quản lý; một số trường (vd HKU) có **Belt and Road** dạng full tuition ở cấp trường,Đề cử bởi trường tại HKSAR,9–4,Theo năm học,Theo năm học,Hàng nghìn (toàn quỹ),Có,"SV non-local theo học tại HK (full-time, accredited)",—,Không,Mọi ngành đủ điều kiện,THPT (quốc tế) + quốc tịch B&R + đỗ ĐH ở HK,Không nêu,Thành tích học thuật xuất sắc,—,Học thuật & hoạt động,Gia hạn theo quy định,Trường đề cử + hồ sơ,Trường xét → EDB phê duyệt,https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/publicly-funded-programmes/scholarship.html,HKU còn có dòng B&R full tuition riêng cấp trường,Có,,,,,
Czech Government Scholarship (Developing Countries),Czech Republic – MEYS,Chính phủ,Miễn học phí + trợ cấp **CZK 12.000/tháng** (bậc chưa có bằng ThS),Chủ yếu cho **Master/PhD**; **Undergraduate** thường qua dự bị tiếng Séc + ngành dạy tiếng Séc,Đơn trực tuyến,4–9,Theo call,**30/09/2025** (cho 2026/27),Hàng trăm,Có,Công dân các nước đang phát triển (có VN),Danh sách nước ưu tiên,Có giới hạn,Theo danh mục ngành ưu tiên,THPT (cho track UG tiếng Séc; có dự bị) + điều kiện quốc gia,thường tiếng Séc),Không nêu,Theo tiêu chí MEYS & trường,—,Học thuật/tiềm năng,Theo quy định,Đơn online + hồ sơ,Theo call,https://msmt.gov.cz/eu-and-international-affairs/government-scholarships-developing-countries,Mức **CZK 12.000/tháng**; deadline 30/09/2025,Có,,,,
Romanian Government Scholarship (MFA),Romania – MFA,Chính phủ,Miễn học phí + ký túc + trợ cấp hàng tháng (mức theo bậc),Mở cho **Bachelor/Master/PhD**; nộp qua nền tảng Study in Romania,Đơn trực tuyến,1–3,Theo call,Theo call,Chưa công bố,Có,Công dân ngoài EU (có VN),—,Không,Mọi ngành (một số loại trừ),THPT (track UG tiếng Romania + 1 năm dự bị ngôn ngữ),Không nêu,Điểm TB ≥7/10 hoặc xếp loại **Good**,—,Học thuật & động lực,Theo quy định,Portal Study in Romania + hồ sơ,Nộp portal → xét chọn,https://scholarships.studyinromania.gov.ro/,Trang MFA/Study in Romania,Có,,,,,
Shanghai Government Scholarship (SGS),Shanghai Municipal Government,Chính phủ,Hạng **B** (UG): **miễn 100% học phí + bảo hiểm**; hạng **A** chủ yếu PG,Ứng tuyển qua các trường ở Thượng Hải; có chương trình 1+4 tiếng Trung,Đơn qua trường tại Shanghai,1–5,Theo call trường,Theo call trường,Chưa công bố,Có,SV quốc tế (non-Chinese),—,Có,Theo danh mục trường ở Shanghai,THPT (quốc tế) + đỗ ĐH tại Thượng Hải,Không nêu,Theo tiêu chí trường tiếp nhận,—,Học thuật & động lực,Theo thư mời,Đơn trường + (nếu cần) form SGS,Theo trường,https://ies.ecust.edu.cn/en/msg.php?id=74,Hạng B áp dụng UG: miễn học phí + bảo hiểm,Có,,,,,
Jiangsu Jasmine Scholarship,Jiangsu Provincial Government,Chính phủ,**CNY 20.000**/năm (College) hoặc **CNY 30.000**/năm (Undergraduate) – **partial**,Thời hạn 1 năm; có thể nộp lại; nộp qua trường ở tỉnh Giang Tô,Đơn qua trường,3–6,Theo call,Theo call,Chưa công bố,Có,SV quốc tế tại trường thuộc Jiangsu,—,Không,Theo danh mục trường ở Jiangsu,THPT (quốc tế) + đỗ ĐH tại Giang Tô,Không nêu,Theo tiêu chí trường,—,Học thuật,Theo thư mời,Đơn trường + hồ sơ,Theo trường,https://iso.usts.edu.cn/en/Scholarship/Jiangsu_Jasmine_Scholarship.htm,Một số trang nêu 30.000 CNY/năm cho UG,Có,,,,,
Beijing Government Scholarship (BGS),Beijing Municipal Government (qua các ĐH),Chính phủ,**Miễn/giảm học phí** (toàn phần hoặc một phần),"Đăng ký tại các ĐH ở Bắc Kinh (PKU, BNU…); UG tối đa 4 năm",Đơn qua từng trường,3–6,Theo trường,Theo trường,Chưa công bố,Có,SV quốc tế nộp vào ĐH ở Bắc Kinh,—,Không,Theo ngành trường tiếp nhận,THPT (quốc tế) + đỗ ĐH tại Bắc Kinh,Không nêu,Theo tiêu chí trường (điểm/ELP),—,Học thuật,Theo thư mời,Đơn trường + form BGS,Theo trường,https://english.beijing.gov.cn/studyinginbeijing/scholarshipapplications/202006/t20200617_1926391.html,PKU/BNU có hướng dẫn chi tiết cho UG,Có,,,,,
King Abdulaziz University Scholarship,King Abdulaziz University (Saudi Arabia),Trường,"Toàn phần: học phí, chỗ ở, trợ cấp hàng tháng, bảo hiểm, vé máy bay",Mở cho **Undergraduate/Master/PhD**; nộp trực tuyến,Đơn trực tuyến,8–10,Theo call,Theo call,Chưa công bố,Có,SV quốc tế,—,Không,Theo ngành của KAU,THPT (quốc tế) + đỗ King Abdulaziz University (UG có),Không nêu,Theo tiêu chí KAU,—,Học thuật & đạo đức,Theo quy định,Đơn online + tài liệu học thuật + hộ chiếu,Xét & thông báo,https://kau.edu.sa/page/scholarship,Trang KAU xác nhận có suất UG/PG,Có,,,,,
Khalifa University Undergraduate Scholarship,Khalifa University (UAE),Trường,Miễn/giảm học phí + có thể kèm trợ cấp theo diện,Áp dụng cho SV quốc tế & công dân UAE; điều kiện & mức theo thông báo hằng năm,Đơn trực tuyến,8–12,Theo call,Theo call,Chưa công bố,Có,SV quốc tế hoặc UAE đủ điều kiện,—,Không,Ngành Cử nhân tại KU,THPT (quốc tế) + đỗ Khalifa University (UAE),Không nêu,Theo chuẩn tuyển sinh KU,—,Học thuật tốt; tiếng Anh theo yêu cầu,Theo quy định KU,Đơn online + hồ sơ học thuật,Nộp qua portal KU → xét,https://www.ku.ac.ae/scholarships-undergraduate,Xem mục International Students,Có,,,,,
UCL Global Undergraduate Scholarship,University College London (UCL),Trường,10 suất **full tuition + trợ cấp sinh hoạt**; 23 suất **full tuition** (mỗi năm),Dành cho SV quốc tế nền tảng thu nhập thấp; xét theo **need** + hồ sơ học thuật,Đơn trực tuyến (sau khi nộp hồ sơ vào UCL),1–4,Theo thông báo,UCL ấn định (ví dụ 28/04/2025 17:00 BST),~33+ suất/năm,Có,Phí diện Overseas; nền tảng thu nhập thấp,—,Không,Mọi ngành Cử nhân toàn thời gian,THPT (quốc tế) + đỗ UCL (need-based/merit),Không nêu,Đã nộp hồ sơ vào UCL; chứng minh nhu cầu tài chính,—,Thành tích học thuật + nhu cầu tài chính,Theo thời gian học,Đơn học bổng + minh chứng tài chính,Nộp online → xét chọn,https://www.ucl.ac.uk/scholarships/ucl-global-undergraduate-scholarship,Có hướng dẫn nộp riêng,Có,,,,,
University of Bristol Think Big Scholarships (Undergraduate),University of Bristol,Trường,£6.500 hoặc £13.000/năm (tuition waiver),Áp dụng tối đa đến 4 năm; áp vào học phí,Đơn trực tuyến riêng,1–4,Theo thông báo,Hạn theo đợt (ví dụ 10/04/2026 10:00 UK),Nhiều suất/năm,Có,SV quốc tế (Overseas) nhập học UG,—,Không,Mọi ngành UG đủ điều kiện,THPT (quốc tế) + đỗ University of Bristol,Không nêu,Hồ sơ học thuật mạnh,—,Học thuật & động lực,Theo điều kiện giải thưởng,Đơn online + offer (hoặc số UCAS),Nộp cổng Bristol → xét,https://www.bristol.ac.uk/students/support/finances/scholarships/think-big-undergraduate/,Flagship của Bristol,Có,,,,,
University of Westminster Full Scholarship,University of Westminster,Trường,Các học bổng quốc tế giá trị cao (thay đổi theo năm; thường là học phí 1 phần/đến cao),Danh mục học bổng thay đổi hằng năm; **full** không phải năm nào cũng mở,Đơn trực tuyến theo từng học bổng,1–3,Theo thông báo,Theo thông báo,Chưa công bố,Có,SV quốc tế (Overseas),—,Không,Theo ngành/đợt công bố,THPT (quốc tế) + đỗ University of Westminster,Không nêu,Tùy từng học bổng,—,Học thuật + nhu cầu + tiềm năng,Theo từng học bổng,Đơn + bài luận + minh chứng,Nộp trên portal Westminster → xét,https://www.westminster.ac.uk/study/fees-and-funding/scholarships,Kiểm tra hằng năm; mức & diện thay đổi,Có,,,,,
Oxford Simon and June Li Undergraduate Scholarship,University of Oxford,Trường,Học phí + trợ cấp sinh hoạt (mức do Oxford công bố từng năm),Dành cho SV có **nhu cầu tài chính** cư trú thường trú tại **các nước đang phát triển ở châu Á**; 1 suất (ngành Humanities),Đơn riêng sau khi nộp UCAS,10–2,Theo chu kỳ,Theo chu kỳ,1,Có,Cư trú tại các nước châu Á đang phát triển (bao gồm Việt Nam),Danh sách quốc gia theo trang Oxford,Có giới hạn,Chủ yếu ngành **Humanities Division**,THPT (quốc tế) + đỗ Oxford,Không nêu,Thành tích rất cao + financial need,—,"Học thuật xuất sắc, hoàn cảnh khó khăn",Gia hạn hằng năm nếu đạt chuẩn,UCAS + form học bổng + minh chứng tài chính,Nộp theo hướng dẫn Oxford Support,https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding/oxford-support/simon-and-june-li-scholarship,Xem phần “Am I eligible?”,Có,,,,,
CUHK Entrance Scholarships,The Chinese University of Hong Kong (CUHK),Trường,Từ 1 phần đến toàn phần học phí; một số diện kèm phụ cấp,**Tự động xét** dựa trên thành tích đầu vào; có học bổng riêng theo thành tích đặc biệt,**Tự động xét** (một số diện có đơn),9–6,Theo mốc CUHK,Theo mốc CUHK,Nhiều suất/năm,Có,SV quốc tế (non-local),—,Không,Hầu hết ngành UG,THPT (quốc tế) + đỗ CUHK,Không nêu,Điểm đầu vào xuất sắc,—,Học thuật + hoạt động,Gia hạn theo quy định,Không cần đơn (đa số) / form riêng (một số diện),Xét tự động & thông báo cùng offer,https://admission.cuhk.edu.hk/fees-financing-your-studies/scholarships/admission-scholarships-for-undergraduates-only/,Có học bổng theo SNDAS/khác,Có,,,,,
Nanyang Scholarship (Nanyang Global Scholarship),Nanyang Technological University (NTU),Trường,**Miễn 100% học phí đã trợ giá** + trợ cấp sinh hoạt/ký túc/khác (theo công bố),Học bổng danh giá nhất cho tân SV quốc tế; có phỏng vấn,Đơn trực tuyến cùng hồ sơ nhập học,10–1,Theo mốc NTU,Theo mốc NTU,Chưa công bố,Có,SV quốc tế; không ràng buộc ngành (trừ ngoại lệ),—,Không,Mọi ngành UG tại NTU,THPT (quốc tế) + đỗ NTU/Nanyang,Không nêu,Thành tích học thuật top; CCA/leadership mạnh,—,"Học thuật xuất sắc, lãnh đạo",Gia hạn nếu đạt chuẩn NTU,Đơn nhập học + mục học bổng,Được shortlist → phỏng vấn,https://www.ntu.edu.sg/admissions/undergraduate/scholarships/scholarship-listings/detail/nanyang-scholarship,Tên mới: Nanyang Global Scholarship,Có,,,,,
SMU Global Impact Scholarship,Singapore Management University (SMU),Trường,**Full tuition** (tối đa 4 năm) + phụ cấp sinh hoạt/ký túc + quỹ trải nghiệm toàn cầu/chuyên môn,Chương trình trọng điểm nuôi dưỡng lãnh đạo tác động xã hội,Đơn trực tuyến riêng (sau khi nộp SMU),11–5,Theo mốc SMU,Theo mốc SMU,Chưa công bố,Có,SV quốc tế/ASEAN (theo diện) học tại SMU,—,Không,Các ngành tại SMU,THPT (quốc tế) + đỗ SMU + phỏng vấn/lãnh đạo,Không nêu,Học thuật rất cao; phỏng vấn,—,"Lãnh đạo, tư duy toàn cầu, trách nhiệm xã hội",Gia hạn theo quy định,Đơn + bài luận + phỏng vấn,Nộp portal SMU → xét,https://admissions.smu.edu.sg/financial-matters/financial-aid/smu-global-impact-scholarship-award,Brochure/website nêu quyền lợi chi tiết,Có,,,,,
Duke Karsh International Scholarship,Duke University,Trường,"**Full tuition, room & board, fees** + tài trợ 3 mùa hè",Học bổng **merit** cho SV quốc tế có thành tích và tác động toàn cầu,Đơn: tick quan tâm + quy trình xét nội bộ,8–1,Theo mốc Duke,Theo mốc Duke,Chưa công bố,Có,Chỉ **sinh viên quốc tế** (không có quốc tịch/PR Mỹ),—,Không,Mọi ngành UG tại Duke,THPT (quốc tế) + đỗ Duke,Không nêu,Hồ sơ học thuật/hoạt động rất xuất sắc,—,"Học thuật, lãnh đạo, phục vụ",Gia hạn 8 học kỳ nếu đạt chuẩn,Common App + essays + (phỏng vấn nếu có),Xét qua OUSF,https://ousf.duke.edu/merit-scholarships/karsh-international-scholars-program/,Trang nêu rõ phạm vi hỗ trợ,Có,,,,,
