Scholarship_Name,Tổ chức cấp học bổng,Scholarship_Type,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),Scholarship renewal conditions,Required documents,Required documents,Application process,Liên kết học bổng (URL),Notes ,Annual (Yes/No/Unknown),% of students in the whole school receive financial aid,Average school-wide support level,,,
University of Bristol Think Big Scholarships (Undergraduate),University of Bristol,university,High-value international scholarships (varies yearly; usually partial to full tuition),Applicable for up to 4 years; applied to tuition fees,Private online application,1–4,According to the announcement,Due by installment (e.g. 10/04/2026 10:00 UK),Many seats/year,yes,,International students (Overseas) enrolling in UG,—,no,All UG disciplines are eligible,High school (international) + University of Bristol entrance exam,High school (international) + University of Bristol entrance exam,Not stated,Strong academic record,—,Academics & Motivation,Subject to award conditions,Online application + offer (or UCAS number),Online application + offer (or UCAS number),Submit Bristol Gate → review,https://www.bristol.ac.uk/students/support/finances/scholarships/think-big-undergraduate/,Bristol Flagship,yes, , ,,,
University of Westminster Full Scholarship,University of Westminster,university,Tuition plus living stipend (amount announced by Oxford each year),The scholarship list changes annually; **full** is not open every year.,Online application for each scholarship,1–3,According to the announcement,According to the announcement,Not published yet,yes,,International Students (Overseas),—,no,By industry/announcement period,High school (international) + University of Westminster entrance exam,High school (international) + University of Westminster entrance exam,Not stated,Depends on the scholarship,—,Academics + needs + potential,By scholarship,Application + essay + evidence,Application + essay + evidence,Submit on Westminster portal → review,https://www.westminster.ac.uk/study/fees-and-funding/scholarships,Annual inspection; level & area of ​​change,yes, , ,,,
Oxford Simon and June Li Undergraduate Scholarship,University of Oxford,university,From partial to full tuition; some include allowances,For students with **financial need** residing permanently in **developing countries in Asia**; 1 place (Humanities major),Separate application after UCAS submission,10–2,Cyclical,Cyclical,1,yes,,Residing in developing Asian countries (including Vietnam),List of countries according to Oxford site,Limited,Mainly **Humanities Division**,High school (international) + Oxford pass,High school (international) + Oxford pass,Not stated,Very high achievement + financial need,—,"Excellent academics, difficult circumstances",Annual renewal if qualified,UCAS + scholarship form + financial proof,UCAS + scholarship form + financial proof,Submit as per Oxford Support guidelines,https://www.ox.ac.uk/admissions/undergraduate/fees-and-funding/oxford-support/simon-and-june-li-scholarship,See “Am I eligible?”,yes, , ,,,
CUHK Entrance Scholarships,The Chinese University of Hong Kong (CUHK),university,100% subsidized tuition plus living/housing/other allowance (per announcement),**Automatically considered** based on entrance performance; separate scholarships based on special performance,**Automatic review** (some areas have application),9–6,According to CUHK milestone,According to CUHK milestone,Many seats/year,yes,,International students (non-local),—,no,Most of the UG industry,High school (international) + pass CUHK,High school (international) + pass CUHK,Not stated,Excellent entry point,—,Academics + Activities,Extension as prescribed,No application required (most) / separate form (some cases),No application required (most) / separate form (some cases),Automatic review & notification with offer,https://admission.cuhk.edu.hk/fees-financing-your-studies/scholarships/admission-scholarships-for-undergraduates-only/,Have scholarship under SNDAS/other,yes, , ,,,
Nanyang Scholarship (Nanyang Global Scholarship),Nanyang Technological University (NTU),university,Full tuition (up to 4 years) plus living/housing stipend and global/professional experience fund,Most prestigious scholarship for new international students; with interview,Online application with admission documents,10–1,According to NTU milestone,According to NTU milestone,Not published yet,yes,,International students; no major restrictions (exceptions),—,no,All UG majors at NTU,High school (international) + passed NTU/Nanyang,High school (international) + passed NTU/Nanyang,Not stated,Top academic achievement; strong CCA/leadership,—,"Academic excellence, leadership",Renewal if NTU standards are met,Application form + scholarship section,Application form + scholarship section,Shortlisted → interviewed,https://www.ntu.edu.sg/admissions/undergraduate/scholarships/scholarship-listings/detail/nanyang-scholarship,New name: Nanyang Global Scholarship,yes, , ,,,
SMU Global Impact Scholarship,Singapore Management University (SMU),university,"Full tuition, room and board, and fees plus 3 summer funding opportunities",Key program to nurture social impact leaders,Separate online application (after submitting to SMU),11–5,According to SMU milestone,According to SMU milestone,Not published yet,yes,,International/ASEAN students (by category) studying at SMU,—,no,Majors at SMU,High school (international) + SMU admission + interview/leadership,High school (international) + SMU admission + interview/leadership,Not stated,Very high academics; interview,—,"Leadership, global thinking, social responsibility",Extension as prescribed,Application + essay + interview,Application + essay + interview,Submit to SMU portal → review,https://admissions.smu.edu.sg/financial-matters/financial-aid/smu-global-impact-scholarship-award,Brochure/website detailing benefits,yes, , ,,,
Duke Karsh International Scholarship,Duke University,university,"Full tuition, room and board (8 semesters) plus mandatory fees; dual enrollment allowed",**Merit** Scholarships for International Students with Achievement and Global Impact,Application: tick interested + internal review process,8–1,According to Duke milestone,According to Duke milestone,Not published yet,yes,,**International students** only (no US citizenship/PR),—,no,All UG majors at Duke,High school (international) + Duke pass,High school (international) + Duke pass,Not stated,Excellent academic/activity record,—,"Academics, leadership, service",8 semester extension if qualified,Common App + essays + (interview if applicable),Common App + essays + (interview if applicable),Considered through OUSF,https://ousf.duke.edu/merit-scholarships/karsh-international-scholars-program/,The page outlines the scope of support.,yes, , ,,,
Robertson Scholars Program,Robertson Scholars Leadership Program (Duke & UNC),fund / organization,"Partial to full tuition plus housing and meals (e.g., Woodruff)",Full Leadership Scholarship at **Duke** or **UNC-Chapel Hill**,Private online application,8–11,According to the announcement,According to the announcement,Not published yet,yes,,Candidates admitted to Duke/UNC,—,no,All UG majors at Duke/UNC,High school (international) + Duke or UNC admission + leadership criteria,High school (international) + Duke or UNC admission + leadership criteria,Not stated,Outstanding Achievement & Leadership,—,"Leadership, community service",8 semester extension,Online application + multi-round interview,Online application + multi-round interview,Apply directly to the program → apply to the school at the same time,https://robertsonscholars.org/,Full-ride leadership scholarship,yes, , ,,,
Emory University Scholars Program,Emory University,university,Need-based grant (no loans); meets 100% of demonstrated need,**merit** scholarship program; require selecting “Scholar consideration” and submitting by the deadline,Application: via Common App (select Scholars),9–11,~November 1–November 15 (according to plan),According to Emory Scholar milestone,Not published yet,yes,,International students are eligible,—,no,All UG majors at Emory/Oxford College,High school (international) + passed Emory,High school (international) + passed Emory,Not stated,Top academic; leadership/contribution,—,"Academics, leadership, impact",Extension as prescribed,Common App + essays + (interview),Common App + essays + (interview),Reviewed by Emory Scholars Committee,https://apply.emory.edu/financial-aid/scholar-program.html,Official Scholars Program page,yes, , ,,,
Princeton University Financial Aid,Princeton University,university,MIT Scholarship (grant) based on financial need; about 58% of students receive; median ~$69.8k (2024–25),Applicable to **international students**; **need-blind** & **no-loan** policy,Submit aid application (PFAS/CSS/other),10–3,Cyclical,Cyclical,Unlimited,yes,,All citizens; based on financial need,—,no,All industries,High school (international) + Princeton (need-based),High school (international) + Princeton (need-based),Not stated,Academically qualified & financially qualified,—,Academic ability; financial proof,Annual renewal based on need,PFAS/CSS + financial documents,PFAS/CSS + financial documents,Submit according to Princeton FA instructions,https://admission.princeton.edu/cost-aid,"Admission/FA page confirms full-need, no-loan",yes, , ,,,
MIT Scholarships (need-based),Massachusetts Institute of Technology (MIT),university,"Need-blind for international students and meets 100% of need (grants + work, no initial loans)",Applicable to international students; evaluated through **CSS Profile** + financial records,Aid application (no separate scholarship application required),11–2,Cyclical,Cyclical,Unlimited,yes,,International students qualify need-based,—,no,All industries,High school (international) + pass MIT (need-based),High school (international) + pass MIT (need-based),Not stated,According to MIT's needs,—,Good academic standing; demonstrate need,Annual renewal,Fill out CSS + financial records,Fill out CSS + financial records,Submit according to SFS MIT guidelines,https://sfs.mit.edu/undergraduate-students/types-of-aid/mit-scholarship/,SFS page shows % and median,yes, , ,,,
Amherst College Financial Aid,Amherst College,university,Meets 100% of demonstrated need; need-blind for all nationalities,Very generous support policy; applicable to international students,Aid application (CSS/Amherst forms),10–2,Cyclical,Cyclical,Unlimited,yes,,International students,—,no,All industries,High school (international) + Amherst (need-based),High school (international) + Amherst (need-based),Not stated,According to Amherst needs,—,Good academics; financial need,Annual renewal,Fill out the aid application + documents,Fill out the aid application + documents,Submit according to Amherst FA instructions,https://www.amherst.edu/offices/financialaid/international_students,Need-blind international,yes, , ,,,
Dartmouth College Financial Aid,Dartmouth College,university,Need-based; meets 100% of demonstrated need for applicants requesting aid,The support package is mainly **grants** (no loans required),Application form (CSS/ISFAA...),10–2,Cyclical,Cyclical,Unlimited,yes,,International students,—,no,All industries,High school (international) + Dartmouth admission (need-based),High school (international) + Dartmouth admission (need-based),Not stated,According to Dartmouth needs,—,Good academics; financial need,Annual renewal,Fill out the aid application + documents,Fill out the aid application + documents,Submit according to Dartmouth FA instructions,https://financialaid.dartmouth.edu/apply-aid/international-students,International need-blind policy,yes, , ,,,
Stanford Financial Aid,Stanford University,university,100% tuition waiver for all admitted students; additional housing and meal aid based on need,No merit scholarships (except limited athletic); applies to international,Application form (CSS/ISFAA...),10–2,Cyclical,Cyclical,Unlimited,yes,,International students apply for aid with their application.,—,no,All industries,High school (international) + Stanford (need-based),High school (international) + Stanford (need-based),Not stated,According to Stanford needs,—,Good academics; financial need,Annual renewal,Fill out the aid application + documents,Fill out the aid application + documents,Submit according to Stanford FA guidelines,https://admission.stanford.edu/apply/international/index.html,Must apply for aid at the time of submission,yes, , ,,,
Berea College Tuition Promise,Berea College,university,"Full tuition plus housing and food (up to 8 semesters) plus $5,500 experience fund",All students receive the **Tuition Promise Scholarship**; International students receive 100% support for mandatory year 1 costs,Admission form + aid documents,8–1,Cyclical,Cyclical,Unlimited,yes,,International students are eligible for admission to Berea,—,no,All industries,"High school (international) + passing Berea (need-based, work-program)","High school (international) + passing Berea (need-based, work-program)",Not stated,According to the Berea policy,—,"Overcoming difficulties, good academic performance",Renewal if academic requirements are met,Application form + financial documents,Application form + financial documents,Submit as per Berea instructions,https://www.berea.edu/no-tuition/,‘No Tuition’ page & international section,yes, , ,,,
Richmond Scholars Program,University of Richmond,university,Full tuition (up to 8 semesters; 10 for B.Arch),UR's most prestigious **merit** scholarships (≈25 scholarships/year),Automatic consideration + additional documents (if invited),8–12,According to UR milestone,According to UR milestone,~25/year,yes,,International students are eligible,—,no,All majors at UR,High school (international) + passed Univ. of Richmond,High school (international) + passed Univ. of Richmond,Not stated,Very strong academic & leadership profile,—,"Academics, leadership, community",8 semester extension if qualified,Application form + interview round (if any),Application form + interview round (if any),Reviewed by Scholars Office,https://scholars.richmond.edu/,Detailed benefits page,yes, , ,,,
USC Trustee Scholarship,University of Southern California (USC),university,"At least tuition, housing, and food plus $10,000 summer fund",USC's highest **merit** scholarship; extremely competitive,Invited after application (interview round),8–12,According to USC milestone,According to USC milestone,Not published yet,yes,,International students are eligible,—,no,All UG sectors,"High school (international) + USC admission (merit, full tuition)","High school (international) + USC admission (merit, full tuition)",Not stated,Top admission profile; interview,—,Outstanding academics & leadership,Extension as prescribed,USC Admissions + Scholarship Interview,USC Admissions + Scholarship Interview,The school invites according to the profile.,https://admission.usc.edu/cost-and-financial-aid/scholarships/,USC Associates clearly states Trustee = full tuition,yes, , ,,,
Johnson Scholarship (W&L),Washington and Lee University,university,"Full-ride (tuition, housing, books) plus 4-year Summer Enrichment and Discovery Funds",~44 scholarships/year; W&L's top **merit** scholarships,Application + **Johnson Essay** (due December 1),9–12,By milestone,01/12 (Johnson essay),≈44/year,yes,,International students are eligible,—,no,All UG majors at W&L,High school (international) + Washington & Lee (full/merit),High school (international) + Washington & Lee (full/merit),Not stated,Very strong academic & leadership profile,—,"Leadership, integrity, contribution",Renewal if qualified,Common/Coalition App + Johnson essay,Common/Coalition App + Johnson essay,According to W&L instructions,https://www.wlu.edu/admissions/the-johnson-scholarship,Official page stating benefits,yes, , ,,,
Morehead-Cain Scholarship,The Morehead-Cain Foundation (UNC–Chapel Hill),fund / organization,Full or major tuition waiver plus living allowance (amount per call),The first **merit** scholarship in the US; for students studying at UNC,Application/nomination according to MC schedule,8–10,By milestone,By milestone,~Based on the criteria,no,,Restrictions: by nomination/school; for UNC-CH,—,no,All majors at UNC-CH,High school (international) + passed UNC Chapel Hill + separate nomination/application,High school (international) + passed UNC Chapel Hill + separate nomination/application,Not stated,"Academic, Leadership & Character Profile",—,"Leadership, integrity, service",8 semester extension,Online application + multiple interview rounds,Online application + multiple interview rounds,Apply directly to the program + apply to UNC,https://www.moreheadcain.org/,Full-ride + enrichment,yes, , ,,,
University of Padua International Scholarship,University of Padua (Italy),university,University,For international students with excellent academic records entering English-taught programs,Online application with admission documents,11–3,According to annual call,According to annual call,Not published yet,yes,,International students (not residing in Italy),—,Limited,Bachelor's programs taught in English at Unipd,High school (international) + University of Padua entrance exam,High school (international) + University of Padua entrance exam,Not stated,Excellent academics; strong motivation,—,"Academic achievement, foreign languages, motivation",According to the offer conditions,Application form + scholarship application,Application form + scholarship application,Submit on Unipd portal → selection,https://www.unipd.it/en/scholarships,Check out the “Padua International Excellence” catalog,yes, , ,,,
University of St. Gallen Excellence Scholarships,University of St. Gallen (HSG,fund / organization,"€3,000–€13,000 per year (undergraduate) or full-program package (amount set by university)",Significant tuition exemption/reduction (level according to annual fund),Awarded to international students with outstanding achievements; some funds are regional.,Application/invitation depending on the program,11–4,According to call,According to call,Not published yet,,yes,International students enroll in gifted school,—,Limited,High school (international) + University of St. Gallen entrance exam,High school (international) + University of St. Gallen entrance exam,Bachelor,Not stated,Top academic achievement; high entrance score,—,"Academics, leadership",According to HSG regulations,According to HSG regulations,Application + supporting documents,Nộp qua HSG Scholarship Office,https://www.unisg.ch/en/studium/bachelor/finanzierung/stipendien/,Funds have their own criteria.,yes, ,,,
Sciences Po Émile Boutmy Scholarship,Sciences Po (France),university,Partial or full tuition waiver plus housing/meal support (depending on award),For **non-EU** students enrolling for the first time; review of academic records + circumstances,Application form included in the admission file (no separate form),10–2,According to the admission cycle,According to the admission cycle,Many seats/year,yes,,Non-EU/EEA citizens; first time entrant to Sciences Po,—,no,All Collège Universitaire programs,High school (international) + passing Sciences Po (College/UG track),High school (international) + passing Sciences Po (College/UG track),Not stated,Excellent academic record; financial proof,—,"Academics, motivation, circumstances",Renewal if qualified,Admission form + Boutmy review section,Admission form + Boutmy review section,Sciences Po automatically considers if eligible,https://www.sciencespo.fr/admissions/en/fees-funding/bursaries/emile-boutmy-scholarship.html,Packages and levels change yearly,yes, , ,,,
CEU Undergraduate Scholarship,Central European University (CEU – Vienna),university,Full tuition (4 years) plus additional need-based aid,Applicable to CEU BA programs; merit based,CEU Online Application,10–2,According to call,According to call,Not published yet,yes,,International students enrolling at CEU,—,no,"CEU BA Programs (Politics, Philosophy & Economics; Culture, etc.)",High school (international) + pass CEU (UG track),High school (international) + pass CEU (UG track),Not stated,Strong academics; English proficiency,—,Academics & Motivation,According to CEU regulations,Application + essay + transcript,Application + essay + transcript,Submit via CEU portal → review,https://undergraduate.ceu.edu/scholarships,Check out each BA program,yes, , ,,,
Wesleyan Freeman Asian Scholars,Wesleyan University (USA),university,"C$2,000–C$24,000 per year (merit) plus Need-Based/IB Awards",For **students from Asia** (including Vietnam),11–12 seats/year,Application form + separate Freeman profile,8–11,According to Wesleyan landmark,According to Wesleyan landmark,~11–12/year,,yes,Citizens of Asian countries (including Vietnam),List of Asian countries,,High School (Asian citizens on list) + Wesleyan,High School (Asian citizens on list) + Wesleyan,Bachelor,Not stated,Very high academic and leadership achievements,—,"Academics, leadership, service",8 semester extension if qualified,8 semester extension if qualified,Common App + Freeman forms + references,Nộp theo hướng dẫn Freeman/Wesleyan,https://www.wesleyan.edu/admission/aid/freeman.html,Full-tuition merit for Asia,yes, ,,,
Trent Global Citizen Scholarships,Trent University (Canada),university,"Prestige: Chancellor’s, President’s, Richard Lewar, Collins, etc., up to full tuition",Multiple value scales for international students; community leadership scholarships available,Online application (some automatic),9–3,According to Trent,According to Trent,Many seats/year,yes,,International students (study permit),—,no,All UG majors at Trent,High school (international) + Trent pass,High school (international) + Trent pass,Not stated,Academic achievement; extracurricular/contribution,—,Academics & Community,By package,Scholarship application + admission documents,Scholarship application + admission documents,Trent Review & Announcement,https://www.trentu.ca/futurestudents/international/tuition-scholarships/scholarships-awards,International scholarship summary page,yes, , ,,,
Carleton Prestige Scholarship,Carleton University (Canada),university,"C$120,000 for 4 years (C$30,000 per year)",Very high GPA required; essay & recommendation required,Prestige Online Application,11–3,According to Carleton landmark,March 1 (annual),~A few dozen,yes,,First year international students,—,no,All UG majors at Carleton,High school (international) + passed Carleton,High school (international) + passed Carleton,Not stated,Top entry point; leadership/activity,—,Academics & Leadership,Renewal if qualified,Application + essay + references,Application + essay + references,Submit to Carleton portal → review,https://admissions.carleton.ca/scholarships/prestige-scholarships/,Request a separate profile,yes, , ,,,
UAlberta President’s International Scholarship,University of Alberta (Canada),university,"C$30,000 per year × 4 = C$120,000 plus C$7,500 study-abroad fund",**Prestige** Scholarship for outstanding international freshmen,Online Application (High Value Awards),10–1,According to UAlberta landmark,According to UAlberta landmark,~10–15/year (reference),yes,,International students (study permit),—,no,All UG majors at UAlberta,High school (international) + passed UAlberta,High school (international) + passed UAlberta,Not stated,Very high academics; leadership/contribution,—,"Academics, leadership, community",4 year extension if qualified,Application + essay + references,Application + essay + references,Submit on Awards portal → review,https://www.ualberta.ca/admissions/undergraduate/scholarships/international/index.html,Belongs to the “President’s International Distinction” group,yes, , ,,,
UOttawa President’s Scholarship,University of Ottawa (Canada),university,"C$3,500–C$5,000 (one-time)",Highest Prestige Award; separate nomination/application required,Prestige Online Application,11–4,According to the uOttawa landmark,According to the uOttawa landmark,~1–2/year,yes,,International students are eligible,—,no,All UG majors at uOttawa,High school (international) + passed UOttawa,High school (international) + passed UOttawa,Not stated,Academic excellence; leadership,—,"Leadership, community, innovation",Renewal if qualified,Application + essay + recommendation letter,Application + essay + recommendation letter,Submit as per Awards Office instructions,https://scholarships.uottawa.ca/p/a/awards,Prestige: President's & Chancellor's,yes, , ,,,
UWinnipeg World Leaders Scholarship,University of Winnipeg (Canada),university,"C$10,000 (International Excellence) plus other levels (IB/Dean’s, etc.)",Preference given to candidates who demonstrate **leadership** and community contribution,Online application,3–6,According to the announcement,According to the announcement,Many portions,yes,,International students (study permit),—,no,All UG disciplines are eligible,High school (international) + passed UWinnipeg,High school (international) + passed UWinnipeg,Not stated,Academic and leadership achievements,—,"Leadership, community service",No renewal (one-off),Application + references + essay,Application + references + essay,Apply online → selection,https://www.uwinnipeg.ca/awards/international-students.html,Check out “World Leaders Entrance”,yes, , ,,,
USaskatchewan Excellence Awards (International),University of Saskatchewan (Canada),university,**C$10.000** (International Excellence) + các mức khác (IB/Dean’s…),Automatic consideration for new international students based on entrance scores,**9–3**,According to USask milestone,According to USask milestone,Many portions,yes,International Bachelor's students,,—,no,All UG majors at USask,Bachelor,High school (international) + passed USask,High school (international) + passed USask,Input score ≥ school-specified level,—,Academics,Renewal according to each package regulations,Automatic (no prescription required),USask automatic review and notification,USask automatic review and notification,https://admissions.usask.ca/money/scholarships.php,Trang Scholarships & Bursaries nêu C$10k,yes, , , ,,,
