Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),,,
Stipendium Hungaricum,Tempus Public Foundation (Hungary),Chính phủ,Miễn 100% học phí; hỗ trợ nhà ở/sinh hoạt (mức theo bậc),Nhiều bậc (UG/One-tier/ThS/PhD); nộp qua hệ thống TPF + đối tác gửi hồ sơ,Tự nộp trực tuyến + qua đối tác gửi,Thường Q4–Q1,Mở 11–12 (tuỳ năm),Thường 15/01 (CET) (tuỳ năm),Không nêu,Có,Công dân các nước trong danh sách đối tác,Theo thoả thuận song phương,Mọi ngành/ chương trình đối tác ở HU,THPT (UG) / Cử nhân (ThS),Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; ngoại ngữ,Theo kết quả học tập & quy định TPF,Hồ sơ online TPF + tài liệu bắt buộc,Nộp trên hệ thống TPF; theo hướng dẫn đối tác gửi,https://stipendiumhungaricum.hu/,Xem Call PDF mỗi năm để biết chi tiết mốc,Có,,,,
Eiffel Excellence Scholarship,Ministry for Europe and Foreign Affairs (France) / Campus France,Chính phủ,"Phụ cấp sinh hoạt €1.200/tháng (Master từ 1/2026); €2.100/tháng (PhD); hỗ trợ đi lại, bảo hiểm… (không bao gồm học phí)",Chỉ do trường Pháp **đề cử**; không tự nộp trực tiếp; cho Master & Doctorate,Trường Pháp đề cử qua Campus France,Thường Q4,Theo lịch trường đề cử,08/01/2026 (call 2026),Không nêu,Có,Ứng viên quốc tế do cơ sở Pháp đề cử,—,Các lĩnh vực ưu tiên do MEAE quy định,Bằng cử nhân (vào Master) hoặc ThS (vào PhD),Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật rất cao,Theo khoá học,Hồ sơ qua trường Pháp,Trường nộp lên Campus France,https://www.campusfrance.org/en/france-excellence-eiffel-scholarship-program,Từ 2026 mức Master điều chỉnh €1.200/tháng,Có,,,,
,,,,,,,,,,,,,,,Cử nhân (hoặc tương đương),,,,,,,,,,,,,
TaiwanICDF Scholarship,International Cooperation and Development Fund (TaiwanICDF),Quỹ / Tổ chức,Toàn phần,"Học phí, sinh hoạt, bảo hiểm, chỗ ở, vé máy bay một chiều… (theo quy định chương trình)",Tự nộp trực tuyến + nộp hồ sơ vào trường đối tác,12–03,01/12/2024,15/03/2025,Không nêu,Có,Công dân các nước đối tác,Theo danh sách nước đủ điều kiện,Theo danh mục chương trình liên kết tại ĐH Đài Loan,Các chương trình UG/PG đủ điều kiện,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,Thành tích học thuật; tiếng Anh/Trung theo yêu cầu,Theo tiến độ học tập đạt yêu cầu,Đơn online TaiwanICDF + hồ sơ trường,Nộp trên cổng TaiwanICDF và cổng trường,https://www.icdf.org.tw/wSite/np?ctNode=31561&mp=2,Lịch 2025: 01/12–15/03 (theo thông báo),Có,,,
Malaysia International Scholarship (MIS),Ministry of Higher Education Malaysia (MOHE),Chính phủ,Miễn/giảm học phí + trợ cấp (theo call),Dành cho ứng viên quốc tế bậc ThS/PhD tại các ĐH Malaysia; lịch mở theo năm,Tự nộp trực tuyến,6,10/06/2025,30/06/2025,Không nêu,Có,Ứng viên quốc tế,—,Theo chương trình tại ĐH Malaysia,ThS/PhD,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; năng lực ngoại ngữ,Theo quy định chương trình,Hồ sơ online theo hướng dẫn MOHE,Nộp trên cổng MIS,https://biasiswa.mohe.gov.my/INTER/index.php,Mốc 2025 tham chiếu thông báo MOHE,Có,,,,
Thailand International Postgraduate Programme (TIPP),Thailand International Cooperation Agency (TICA),Chính phủ,Toàn phần,"Học phí, sinh hoạt, chỗ ở, BHYT, vé máy bay (theo từng khoá)",Tự nộp trực tuyến qua TICA,Q1–Q2,Chưa rõ,Chưa rõ,~70 suất/năm (tham khảo),Có (nếu VN trong danh sách năm đó),Công dân các nước đủ điều kiện,Theo danh sách eligible countries,"5 chủ đề chính: SEP, Biến đổi khí hậu, An ninh lương thực, Y tế, SDGs…",Các ngành/khoá ThS thuộc chủ đề TIPP,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,Thành tích học thuật; năng lực ngoại ngữ,Theo kết quả học tập,Hồ sơ online + giấy tờ theo form TICA,Nộp trên cổng TICA,https://tica-thaigov.mfa.go.th/en/page/courses-for-tipp?menu=605b13b96636fb058f55e482,Kiểm tra “List of Eligible Countries” từng năm,Có,,,
Brunei Darussalam Government Scholarship (BDGS),Ministry of Foreign Affairs Brunei,Chính phủ,Toàn phần,"Học phí, sinh hoạt, ký túc xá, vé máy bay, bảo hiểm… (theo thông báo)",Tự nộp trực tuyến/qua ĐSQ (theo hướng dẫn),Q4–Q1,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên quốc tế,—,"Theo ngành tại các cơ sở: UBD, UNISSA, UTB, PB…",ĐH/ThS tuỳ diện,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; sức khoẻ/tuổi theo diện,Theo quy định chương trình,Form BDGS + hồ sơ kèm theo,Nộp theo hướng dẫn MFA Brunei,https://www.mfa.gov.bn/pages/online-bdgs.aspx,2025/26 đã đóng – theo dõi mùa kế tiếp,Có,,,,
National Scholarship Programme (NSP),Government of the Slovak Republic (admin by SAIA),Chính phủ,"Trợ cấp lưu trú/di chuyển (hỗ trợ **mobility**, không phải học phí)","Hỗ trợ **trao đổi/nghiên cứu/nghệ thuật** cho SV, NCS, giảng viên, nhà nghiên cứu, nghệ sĩ",Tự nộp trực tuyến,Q1 & Q3,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên quốc tế (theo đối tượng mobility),—,Không giới hạn ngành (theo đơn vị tiếp nhận),Mobility bậc ĐH/ThS/PhD/nhà nghiên cứu,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Năng lực học thuật; thư mời cơ sở tiếp nhận,Theo thời lượng mobility,Hồ sơ online + thư mời,Nộp trên hệ thống NSP/SAIA,https://www.scholarships.sk/en/main/programme-terms-and-conditions/foreign-applicants,"Chương trình **mobility**, không tài trợ học phí",Có,,,,
Czech Government Scholarship,Ministry of Education,Youth and Sports (Czech Republic),Chính phủ,Toàn phần/ bán phần (tuỳ bậc & diện),Cho công dân các nước đang phát triển theo diện hợp tác; có kênh đề cử quốc gia,Đề cử quốc gia + hệ thống online,Q2–Q3,Chưa rõ,30/09/2025,Không nêu,Có (tuỳ diện quốc gia/năm),Theo danh mục quốc gia ưu tiên,—,Theo chương trình tại ĐH công lập CZ,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,Thành tích học thuật; điều kiện quốc gia đề cử,Theo tiến độ học tập,Hồ sơ online + qua cơ quan đề cử,Nộp online & qua cơ quan đề cử,https://msmt.gov.cz/eu-and-international-affairs/government-scholarships-developing-countries,Kiểm tra Việt Nam trong danh sách từng năm,Có,,,
Knight-Hennessy Scholars (Stanford University),Knight-Hennessy Scholars – Stanford University,Trường,Tới 3 năm tài trợ toàn diện,"Học phí, sinh hoạt, nhà ở, đi lại, học tập; kèm chương trình lãnh đạo",Tự nộp trực tuyến (riêng với hồ sơ vào Stanford),Q3–Q4,Chưa rõ,Chưa rõ,~80–100+/năm,Có,Mở toàn cầu,—,Mọi ngành sau ĐH tại Stanford (JD/MA/MBA/MD/MFA/MS/DMA/PhD…),Cử nhân (vào sau ĐH),Cử nhân (hoặc tương đương),Không nêu,Không nêu,Năng lực lãnh đạo; thành tích học thuật xuất sắc,Theo khoá (tối đa 3 năm),Hồ sơ online KHS + hồ sơ vào Stanford,Nộp trên cổng KHS và cổng Stanford,https://knight-hennessy.stanford.edu/,Xem “Program Overview” & Eligibility,Có,,,,
Clarendon Scholarship (University of Oxford),Clarendon Fund – University of Oxford,Trường,Toàn phần (học phí + trợ cấp),>200 suất/năm; tự động xét cho ứng viên nộp hồ sơ đúng hạn,Tự xét qua hồ sơ Oxford (không cần đơn riêng),Q4–Q1,Theo hạn khoá học (12/–1/),Theo hạn khoá học (12/–1/),>200/năm,Có,Mở toàn cầu,—,Mọi ngành sau ĐH tại Oxford,Cử nhân (vào sau ĐH),Cử nhân + kinh nghiệm/leadership nổi bật (tuỳ tiêu chí Oxford MBA),Top hồ sơ học thuật,Không nêu,Thành tích học thuật xuất sắc,Theo khoá học,Hồ sơ Oxford,Tự động xét qua hệ thống Oxford,https://www.ox.ac.uk/clarendon,Không có đơn riêng; cạnh tranh cao,Có,,,,
Schwarzman Scholars (Tsinghua University),Schwarzman Scholars (at Tsinghua University),Quỹ / Tổ chức,Toàn phần (1 năm),"Học phí, sinh hoạt, nhà ở, bảo hiểm, chuyến nghiên cứu… cho ThS Global Affairs",Tự nộp trực tuyến,Q1–Q2 & Q3–Q4 (đợt quốc tế/Trung Quốc),Chưa rõ,Chưa rõ,~150/năm,Có,Mở toàn cầu (có track Trung Quốc),—,Master of Global Affairs (Tsinghua),Cử nhân,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Lãnh đạo & phục vụ cộng đồng; thành tích học tập,Theo khoá (1 năm),Hồ sơ online + phỏng vấn,Nộp trên cổng Schwarzman Scholars,https://www.schwarzmanscholars.org/,"1 năm, cư trú tại Schwarzman College (Tsinghua)",Có,,,,
Yenching Academy Scholarship (Peking University),Yenching Academy of Peking University,Trường,Toàn phần,"Học phí, sinh hoạt, nhà ở, bảo hiểm…; học bổng toàn phần cho Master in China Studies",Tự nộp trực tuyến,Q3–Q4,Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu,—,China Studies (liên ngành KHXH-NV),Cử nhân,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; tiếng Anh cao (IELTS 7.0/TOEFL 100…); thư giới thiệu học thuật,Theo khoá học,Hồ sơ online + bài luận + thư giới thiệu,Nộp trên cổng Yenching,https://yenchingacademy.pku.edu.cn/,Yêu cầu tiếng Anh tối thiểu nêu rõ,Có,,,,
McCall MacBain Scholarship (McGill University),McCall MacBain Foundation & McGill University,Quỹ / Tổ chức,Toàn phần + hỗ trợ sinh hoạt,Học phí toàn phần & sinh hoạt cho Master/professional; chương trình lãnh đạo; có suất quốc tế,Tự nộp trực tuyến (kèm/đồng thời hồ sơ McGill),Q2–Q3,01/06/2025,20/08/2025 (quốc tế),~30 học bổng toàn phần + giải Finalist,Có,Mở toàn cầu (có quota),—,Các chương trình Master/professional tại McGill,Cử nhân,Cử nhân (hoặc tương đương),Không nêu,Ưu tiên có hoạt động lãnh đạo,Lãnh đạo; phục vụ cộng đồng; thành tích học thuật,Theo khoá học,Hồ sơ online + phỏng vấn,Nộp trên cổng McCall MacBain,https://mccallmacbainscholars.org/apply/,Deadline khác nhau cho Canada/US & quốc tế,Có,,,,
Obama Foundation Scholars (Columbia University),Obama Foundation (phối hợp Columbia World Projects),Quỹ / Tổ chức,Toàn phần trong 9 tháng cư trú,"Học phí tối đa 4 học phần, trợ cấp sinh hoạt, nhà ở, BHYT, hoạt động thực địa…",Tự nộp trực tuyến,Q1–Q2,Chưa rõ,Chưa rõ,~12–15/năm,Có,Lãnh đạo trẻ tạo tác động xã hội,—,Liên ngành chính sách/xã hội (theo kế hoạch học Columbia),Cử nhân,Cử nhân (hoặc tương đương),Không nêu,Kinh nghiệm lãnh đạo/tác động xã hội,"Lãnh đạo, cam kết phục vụ công chúng",Theo khoá (9 tháng),Hồ sơ online + bài luận + thư giới thiệu,Nộp trên cổng Columbia World Projects,https://www.obama.org/programs/scholars/columbia-university/,Chương trình cư trú toàn thời gian tại NYC,Có,,,,
Rotary Peace Fellowship,Rotary International,Quỹ / Tổ chức,Toàn phần,"Học phí, ăn ở, đi lại, thực tập, bảo hiểm… cho ThS hoặc chứng chỉ nghề nghiệp",Tự nộp trực tuyến; cần thư giới thiệu Rotary District,Q1–Q2,Tháng 2 (mở),Tháng 5 (đóng) (theo năm),Tối đa ~130/năm,Có,Mở toàn cầu; không dành cho Rotarian đang hoạt động,—,Peace/Development tại các Peace Centers đối tác,Cử nhân,Cử nhân (hoặc tương đương),Không nêu,≥3 năm kinh nghiệm (track ThS),Lãnh đạo & hoà bình/phát triển; cộng đồng,Theo khoá học,Hồ sơ online + phỏng vấn,Nộp trên cổng MyRotary,https://www.rotary.org/en/our-programs/peace-fellowships,Có 2 track: Master & Professional Certificate,Có,,,,
Joint Japan/World Bank Graduate Scholarship Program,World Bank (tài trợ Chính phủ Nhật Bản),Chính phủ,Toàn phần,"Học phí, sinh hoạt, bảo hiểm, đi lại; bắt buộc quay về nước phục vụ phát triển",Tự nộp trực tuyến + vào chương trình tham gia JJ/WBGSP,Q1–Q2,Chưa rõ,Chưa rõ,Không nêu,Có,Công dân nước đang phát triển (danh sách),Theo danh sách quốc gia đủ điều kiện,Ngành phát triển tại các chương trình tham gia,Cử nhân,Cử nhân (hoặc tương đương),Không nêu,Kinh nghiệm nghề nghiệp liên quan phát triển,Thành tích & cam kết phát triển quốc gia,Theo khoá học,Hồ sơ online + thư mời/chấp nhận học,Nộp trên cổng World Bank Scholarships,https://www.worldbank.org/en/programs/scholarships/jj-wbgsp,Chỉ cho Master tại chương trình tham gia,Có,,,,
ADB-Japan Scholarship (ADB-JSP),Asian Development Bank (tài trợ Chính phủ Nhật Bản),Chính phủ,Toàn phần,"Học phí, sinh hoạt (có nhà ở), sách, bảo hiểm, vé máy bay; ~135–140 suất/năm",Tự nộp qua trường đối tác/ADB (theo hướng dẫn),Q4–Q1,Chưa rõ,Chưa rõ,~135–140/năm,Có,Công dân các nước thành viên ADB đủ điều kiện,Theo danh sách quốc gia/ trường đối tác,"Kinh tế, QL, KH&CN, phát triển…",Cử nhân,Cử nhân + kinh nghiệm/điều kiện LMIC (tuỳ khoá),Không nêu,Kinh nghiệm làm việc liên quan,Thành tích học tập; cam kết phát triển,Theo khoá học,Hồ sơ qua trường/ADB,Theo hướng dẫn trên trang ADB,https://www.adb.org/what-we-do/funds/japan-scholarship-program-jsp,Xem danh sách “Participating Institutions” hàng năm,Có,,,,
Aga Khan Foundation Scholarship,Aga Khan Foundation,Quỹ / Tổ chức,50% tài trợ – 50% cho vay,Hỗ trợ bậc sau ĐH cho công dân các nước được chọn; xét 1 lần/năm (6–7),Tự nộp qua đại diện quốc gia/quỹ AKF,Q2–Q3,Chưa rõ,Chưa rõ,Không nêu,Có (nếu VN thuộc phạm vi đại diện),Công dân các nước được chọn,Theo danh sách nước AKF công bố,Theo ngành phù hợp mục tiêu phát triển,Cử nhân,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; nhu cầu tài chính; cam kết phục vụ,Theo thoả thuận học bổng-vay,Hồ sơ theo mẫu AKF ISP,Nộp qua văn phòng/quản lý khu vực AKF,https://the.akdn/en/what-we-do/developing-human-capacity/education/international-scholarships,Mô hình 50% grant : 50% loan,Có,,,,
KAUST Fellowship (King Abdullah Univ of Science & Tech),King Abdullah University of Science and Technology (KAUST),Trường,Toàn phần,"Học phí, nhà ở, bảo hiểm, trợ cấp hàng tháng; tổng giá trị ước tính ~70–80 nghìn USD/năm",Tự nộp trực tuyến (kèm hồ sơ KAUST),Quanh năm (rolling),Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu,—,STEM tại KAUST (MS/PhD),Cử nhân (MS) / ThS (PhD),Cử nhân (hoặc tương đương),Không nêu,Không nêu,Hồ sơ học thuật mạnh; tiếng Anh; nghiên cứu,Gia hạn theo tiến độ & kết quả học tập,Hồ sơ online + tài liệu bắt buộc,Nộp trên cổng KAUST Admissions,https://admissions.kaust.edu.sa/fees-funding,Fellowship đi kèm mọi offer nhập học (đa số),Có,,,,
Khalifa University Graduate Scholarship,Khalifa University,Trường,Miễn học phí + trợ cấp (theo diện),Hỗ trợ học phí và stipend cho SV cao học; có diện GRTS/RA nội bộ…,Tự nộp trực tuyến (kèm hồ sơ KU),Q1–Q2,Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu,—,Ngành sau ĐH tại KU (UAE),Cử nhân (ThS) / ThS (PhD),Cử nhân + kinh nghiệm làm việc (tối thiểu ~2 năm tích luỹ),Không nêu,Không nêu,Thành tích học thuật; nghiên cứu,Theo tiến độ học tập,Hồ sơ online + tài liệu bắt buộc,Nộp trên cổng KU,https://www.ku.ac.ae/scholarships-postgraduate,Xem từng diện học bổng trên trang KU,Có,,,,
MBZUAI Scholarship (Mohamed bin Zayed University of AI),Mohamed bin Zayed University of Artificial Intelligence,Trường,Toàn phần,"100% học phí, stipend hàng tháng, visa, BHYT; có hỗ trợ chỗ ở theo quy định",Tự nộp trực tuyến (kèm hồ sơ MBZUAI),Q3–Q4 & Q1–Q2 (tuỳ kỳ nhập học),Chưa rõ,Chưa rõ,Không nêu,Có,Mở toàn cầu,—,"AI (ML, CV, NLP, Robotics… theo năm)",Cử nhân (MSc) / ThS (PhD),Cử nhân + (thường) yêu cầu/ưu tiên kinh nghiệm theo quốc gia,Không nêu,Không nêu,Thành tích học thuật; nền tảng toán/CS; tiếng Anh,Theo tiến độ học tập,Hồ sơ online + phỏng vấn (tuỳ vòng),Nộp trên cổng MBZUAI,https://mbzuai.ac.ae/study/graduate-admission-process/,"Mức stipend công bố theo bậc, cập nhật mỗi năm",Có,,,,
EPFL Excellence Fellowships,École polytechnique fédérale de Lausanne (EPFL),Trường,Học bổng xuất sắc (Master) + đảm bảo nhà ở,Số lượng giới hạn; dựa trên thành tích nổi bật & hoạt động ngoại khóa,Tự nộp/tự xét theo chương trình (tuỳ khoa),Q4 & Q1–Q2 (đợt Master),Chưa rõ,15/12 và/hoặc 30/04 (tuỳ năm),Không nêu,Có,Mở toàn cầu,—,Các chương trình Master tại EPFL,Cử nhân,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Hồ sơ học thuật xuất sắc; hoạt động nổi bật,Theo thời lượng chương trình,Hồ sơ theo hướng dẫn EPFL,Nộp trên cổng EPFL,https://www.epfl.ch/education/master/master-excellence-fellowships/,Có cả một số fellowship theo khoa,Có,,,,
Geneva Excellence Master Fellowships,University of Geneva – Faculty of Science,Trường,CHF 10.000–15.000/năm,"Cấp 1 năm, có thể gia hạn đến hết thời lượng chính thức nếu đạt yêu cầu sau HK1",Tự nộp (song song/tiếp theo hồ sơ Master),Q3–Q4,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên Master thuộc Faculty of Science,—,Các MSc thuộc Faculty of Science (UNIGE),Cử nhân phù hợp,Cử nhân (hoặc tương đương),Top hồ sơ học thuật (khuyến nghị),Không nêu,Thành tích học thuật rất cao,Gia hạn nếu đạt yêu cầu sau HK1,Hồ sơ online theo hướng dẫn khoa,Nộp qua Faculty of Science – UNIGE,https://www.unige.ch/sciences/en/enseignements/formations/masters/excellencemasterfellowships,Rất cạnh tranh; yêu cầu hồ sơ mạnh,Có,,,,
,,,,,,,,,,,,,,,Cử nhân (hoặc tương đương),,,,,,,,,,,,,
Chulalongkorn Graduate Scholarship,Chulalongkorn University,Trường,Toàn phần/không nêu rõ,Thường bao gồm học phí + vé máy bay khứ hồi + trợ cấp sinh hoạt (tuỳ đợt công bố),Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Có,Có,Quốc tế,Ưu tiên giảng viên/NCV về nước công tác,Không giới hạn,Không nêu,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Chưa rõ,"Thành tích học thuật, tiếng Anh",Có thể gia hạn theo tiến độ,Form + CV + bảng điểm + tiếng Anh,Nộp trực tuyến theo hướng dẫn PDF,https://academic.chula.ac.th/storage/images/internationals/63e30ae5bd59c.pdf,Chương trình “Graduate Scholarship Program for ASEAN or Non-ASEAN Countries”.,Có,,,
SIIT Graduate Scholarship (Thammasat),Sirindhorn International Institute of Technology (Thammasat University),Trường,Toàn phần,"Thường gồm học phí, trợ cấp, bảo hiểm, vé máy bay (tuỳ thông báo)",Theo đợt hằng năm,Chưa rõ,01-09-2025,30-09-2025,Chưa rõ,Có,Quốc tế,Không,STEM/Kỹ thuật,Ngành của SIIT,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Chưa rõ,"Thành tích học thuật, tiếng Anh",Theo thông báo,SoP + CV + bảng điểm + tiếng Anh,Nộp online cổng SIIT,https://graduateadmission.siit.tu.ac.th/m_newview/46,A.Y. 2/2025 (Jan 2026 intake).,Có,,,
TU Delft Justus & Louise van Effen Scholarship,TU Delft,Trường,Toàn phần,Học phí + trợ cấp sinh hoạt (mức do TU Delft công bố),Theo đợt hằng năm,12,Chưa rõ,01-12-2025,Chưa rõ,Có,Quốc tế,Không,STEM/MSc của TU Delft,Theo chương trình MSc,Cử nhân (hoặc tương đương),Chưa rõ,Ưu tiên GPA cao (~≥80% quy đổi),"Động lực, thư giới thiệu",Chưa rõ,Form,thư giới thiệu,hồ sơ MSc,Nộp cùng hồ sơ MSc (upload gói học bổng),https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/scholarships/justus-louise-van-effen-excellence-scholarships,Deadline thường 1/12 hàng năm.,Có,,
Adelaide (các học bổng quốc tế),Adelaide University (Úc),Trường,Giảm học phí,15–50% học phí tuỳ học bổng (Global Citizens/Global Academic Excellence),Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Quốc tế,Không,Không giới hạn,Đa ngành,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Chưa rõ,Thành tích học thuật,Theo điều kiện từng học bổng,Hồ sơ nhập học + chứng cứ thành tích,Tự động xét hoặc nộp riêng (tuỳ học bổng),https://international.adelaide.edu.au/admissions/scholarships,Chương trình ASI cũ đã thay bằng gói mới.,Có,,,
University of Sydney International Scholarships (USyd),The University of Sydney,Trường,Toàn phần/giảm phí (tuỳ loại),"VD: Vice-Chancellor’s up to A$60,000; nhiều gói khác nhau",Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Quốc tế,Không,Không giới hạn,Đa ngành,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Chưa rõ,"Thành tích học thuật, tiêu chí từng gói",Theo điều kiện từng gói,Hồ sơ nhập học + tài liệu theo gói,Nộp qua cổng USyd/auto-consider,https://www.sydney.edu.au/scholarships/international.html,Xem riêng từng gói (VD: Vice-Chancellor’s).,Có,,,
KAAD Scholarship (Catholic Academic Exchange Service),KAAD (Đức),Quỹ / Tổ chức,Trợ cấp hàng tháng + hỗ trợ khác,Hỗ trợ học phí một phần/khác; cần tiếng Đức (thường ≥B2),Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Quốc tế (ưu tiên nước đang phát triển),Có thể yêu cầu Công giáo,Không giới hạn,Đa ngành,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Kinh nghiệm nghề nghiệp,"Học thuật tốt, cam kết xã hội/giáo hội",Gia hạn theo tiến độ,HS theo yêu cầu chương trình,Nộp qua mạng lưới/đơn vị đề cử,https://www.kaad.de/en/stipendien,Có nhiều chương trình (Prog. 1/2).,Có,,,
BI Presidential Scholarship,BI Norwegian Business School,Trường,Toàn phần (học phí; có thể kèm trợ cấp),Chi tiết tuỳ kỳ công bố,Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Quốc tế,Không,Quản trị/Kinh doanh (MSc),Các MSc của BI,Cử nhân + kinh nghiệm làm việc (ứng viên đang đi làm/được cơ quan cử),Chưa rõ,Chưa rõ,Chưa rõ,Thành tích học thuật xuất sắc,Theo tiến độ,Mẫu đơn + thư,bảng điểm,Nộp qua trang BI,https://www.bi.no/en/programmes-and-individual-courses/scholarships/bi-presidential-scholarships/,Chỉ cho bậc MSc tại Oslo/Bergen.,Có,,
Doha Institute Graduate Scholarship,Doha Institute for Graduate Studies,Trường,Toàn phần/Phần,Tuition waiver + stipend (tuỳ loại),Theo đợt hằng năm,9,01-09-2025,15-01-2026,Chưa rõ,Có,Quốc tế,Không,KHXH-NV/Chính sách công… (theo DI),Theo chương trình thạc sĩ,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Chưa rõ,Thành tích + phù hợp ngành,Theo điều khoản học bổng,HS theo hướng dẫn DI,Nộp online,https://www.dohainstitute.edu.qa/en/admissions-office/pages/scholarships.aspx,Thời gian mở đơn tham khảo 9–1.,Có,,,
Hamad Bin Khalifa University Scholarship,HBKU (Qatar Foundation),Trường,Miễn/giảm học phí + stipend (tuỳ college),Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Quốc tế,Không,Theo college của HBKU,Theo chương trình,Cử nhân,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Thành tích học thuật,Theo điều khoản học bổng,HS theo yêu cầu college,Nộp cùng hồ sơ tuyển sinh,https://www.hbku.edu.qa/en/scholarship,Chính sách học bổng cấp bởi từng college.,Có,,,,
Mandela Rhodes Scholarship,Mandela Rhodes Foundation,Quỹ / Tổ chức,Toàn phần,"Học phí, sinh hoạt, phát triển lãnh đạo",Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có (công dân châu Phi; VN: Không),Chỉ công dân châu Phi,Công dân châu Phi,Không giới hạn,Đa ngành (South Africa),Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Không bắt buộc,"Lãnh đạo, phục vụ cộng đồng",Theo điều khoản,Nộp online qua MRF,Hai vòng tuyển chọn,https://www.mandelarhodes.org/scholarship/,Chỉ cho công dân châu Phi.,Có,,,
Skoll Scholarship (Oxford MBA),Skoll Centre for Social Entrepreneurship – Saïd Business School (Oxford),Trường,Toàn phần/Phần,Học phí MBA + hỗ trợ sinh hoạt (tuỳ năm),Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Quốc tế,Không,Quản trị/KD (MBA),MBA Saïd,Cử nhân (hoặc tương đương),Chưa rõ,Chưa rõ,Kinh nghiệm tạo tác động XH,"Lãnh đạo XH, tác động bền vững",Theo điều khoản,HS Oxford + bài luận Skoll,Quy trình riêng gắn với hồ sơ Oxford,https://www.sbs.ox.ac.uk/schools/oxford-said/skoll-centre,Tham chiếu trung tâm Skoll chính thức.,Có,,,
JFUNU Scholarship (UNU-IAS,Japan),United Nations University – Institute for the Advanced Study of Sustainability,Quỹ / Tổ chức,Trợ cấp hàng tháng,"~120,000 JPY/tháng đến 24 tháng; có thể miễn học phí",Theo đợt hằng năm,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Quốc tế (ưu tiên nước đang phát triển),Không,Phát triển bền vững,Cử nhân (hoặc tương đương),Cử nhân,Chưa rõ,Chưa rõ,Chưa rõ,Thành tích + nhu cầu tài chính,Theo điều khoản,HS theo hướng dẫn UNU,Nộp qua portal UNU,https://unu.edu/ias/msc-scholarships,Chỉ cho chương trình UNU-IAS,Có,,
